link,price,currency,type,beds,baths,area,location,down_payment,plan_type
https://www.bayut.eg/en/property/details-501185901.html,"3,300,000",EGP,Apartment,3.0,2.0,112 Sq. M.,"Hadayek October, Giza","EGP 1,400,000",Off-Plan
https://www.bayut.eg/en/property/details-501185785.html,"53,000,000",EGP,Villa,5.0,4.0,412 Sq. M.,"Mivida Compound, New Cairo, Cairo",,
https://www.bayut.eg/en/property/details-501187383.html,"9,300,000",EGP,Apartment,3.0,3.0,178 Sq. M.,"Ivoire Compound, Sheikh Zayed, Giza","EGP 465,000",Off-Plan
https://www.bayut.eg/en/property/details-501187562.html,"7,588,000",EGP,Duplex,4.0,3.0,205 Sq. M.,"Sarai, Mostakbal City, Cairo","EGP 1,224,000",Off-Plan
https://www.bayut.eg/en/property/details-501189815.html,"9,372,000",EGP,Duplex,3.0,3.0,220 Sq. M.,"Al Burouj, Shorouk City, Cairo","EGP 5,100,000",
https://www.bayut.eg/en/property/details-501185670.html,"28,000,000",EGP,Duplex,3.0,4.0,345 Sq. M.,"New Giza Compound, 6th of October, Giza",,
https://www.bayut.eg/en/property/details-501185664.html,"3,885,000",EGP,Apartment,2.0,1.0,91 Sq. M.,"Celia, New Capital City, Cairo","EGP 2,485,000",Off-Plan
https://www.bayut.eg/en/property/details-501185619.html,"10,000,000",EGP,Villa,4.0,4.0,239 Sq. M.,"Sarai, Mostakbal City, Cairo","EGP 1,000,000",
https://www.bayut.eg/en/property/details-501185697.html,"78,000,000",EGP,Villa,9.0,8.0,"2,000 Sq. M.","Al Yasmine Greenland Compound, 6th of October, Giza",,
https://www.bayut.eg/en/property/details-501185695.html,"120,000",EGP,Residential Land,,,"2,331 Sq. M.","El Maadi, Maadi, Cairo",,
https://www.bayut.eg/en/property/details-501185684.html,"28,930,000",EGP,Townhouse,3.0,5.0,266 Sq. M.,"Azzar Compound, New Cairo, Cairo","EGP 20,200,000",Off-Plan
https://www.bayut.eg/en/property/details-501185548.html,"3,800,000",EGP,Apartment,3.0,3.0,229 Sq. M.,"Shorouk City, Cairo","EGP 1,700,000",
https://www.bayut.eg/en/property/details-501185543.html,"3,880,000",EGP,Apartment,3.0,3.0,235 Sq. M.,"Shorouk City, Cairo","EGP 1,900,000",
https://www.bayut.eg/en/property/details-501185485.html,"4,350,000",EGP,Apartment,3.0,3.0,245 Sq. M.,"Shorouk City, Cairo","EGP 3,000,000",
https://www.bayut.eg/en/property/details-501187476.html,"24,000,000",EGP,Villa,5.0,5.0,300 Sq. M.,"La Vista 3, Ain Sukhna, Suez",,
https://www.bayut.eg/en/property/details-501187478.html,"7,000,000",EGP,Chalet,3.0,2.0,165 Sq. M.,"La Vista 2, Ain Sukhna, Suez",,
https://www.bayut.eg/en/property/details-501189172.html,"16,900,000",EGP,Duplex,3.0,3.0,278 Sq. M.,"Hyde Park New Cairo Compound, New Cairo, Cairo",,
https://www.bayut.eg/en/property/details-501185289.html,"7,875,100",EGP,Apartment,3.0,3.0,176 Sq. M.,"5th Settlement, New Cairo, Cairo","EGP 787,510",Off-Plan
https://www.bayut.eg/en/property/details-501185283.html,"7,875,000",EGP,Apartment,3.0,3.0,174 Sq. M.,"5th Settlement, New Cairo, Cairo","EGP 787,500",Off-Plan
https://www.bayut.eg/en/property/details-501184228.html,"12,000,000",EGP,Penthouse,2.0,2.0,135 Sq. M.,"Mountain View iCity Compound, New Cairo, Cairo",,
https://www.bayut.eg/en/property/details-501188287.html,"22,000,000",EGP,Penthouse,4.0,3.0,265 Sq. M.,"Park View Compound, New Cairo, Cairo",,
